决议 四人帮 区别 历史 加以
刊物 伯达 一九八八 香港 陈伯达 一九八八年 读者 疑问 文章 一家 一篇 为此 内地 披露 引起 发表 记得 夏天
一九七 十几年 囚牢 关进 囚徒 刊物 保外 原委 报刊 中国 破天荒 中国内地 件破天荒 官方 文件 一个 身份 文章 批判 内地
陈伯达 决议 张春桥 文革 伯达 江青 一九八一 林彪 中央 一九八一年 许多过去 历史 小组 历史性 部份 名字 档案 陈进行 即不在这份 中共
陈伯达 伯达 中央 复兴医院 细节 病房 文革 决议 公安 犯人 口头 几年 不久 有益 现在先找个地方 陈写 中央委派 为自己 好病 大意
挥汗 读罢 连宵 传达室 针剂 和我 白乐天 乐天 北京 来一封 稍作 时节 父亲 近况 家事 来信 做工 笔者 车间 好假
探监 易事 一九八一 一九七九 生死 一九八 在此 几次 一件 第四次 父亲 一九八一年 五月初 一九七九年 下落 工厂 详情 九年 备述 实非
陈伯达 公安 伯达 复兴医院 医院 王申 友谊 北京 五日 一家 住进 科长 探视 干部 我于八月 八月六日 号码 监管 不归 复兴
病房 萧清河 浴盆 科员 复兴医院 友谊医院 当时公安局 伙食 热水 几年 清河 姓赵 一位 条件 父亲 西头 医院 犯人 干部 公安
八一年底 父亲 八一 照料 年底 开始
陈伯达 伯达 六层 平房 公安 腰腿 久住 东郊 天寒 顶层 王申 处所 石家庄 友谊 一时 住处 事项 科长 一幢 居民
陈伯达 一九八一 余文菲 文菲 风烛 残年 文耀 王保春 伯达 一九四八 库房 废品 萧清河 保春 王文耀 中央 则已 中南 带子 清河
陈伯达 稿费 碑帖 伯达 田家英 报刊 陈平生 家英 书籍 部份 文物 一九五八 一千五百多 一九八三 袖珍本 二百元 字画 古籍 中节省 陈只
